Variant,Layer,d,orth_residual,note
Identity (Std PTQ),vit.encoder.layer.0.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.0.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.1.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.1.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.2.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.2.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.3.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.3.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.4.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.4.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.5.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.5.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.6.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.6.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.7.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.7.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.8.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.8.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.9.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.9.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.10.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.10.output.dense,3072,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.11.intermediate.dense,768,0.0,no rotation
Identity (Std PTQ),vit.encoder.layer.11.output.dense,3072,0.0,no rotation
Random Gaussian (non-orth),vit.encoder.layer.0.intermediate.dense,768,27.713161,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.0.output.dense,3072,55.40979,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.1.intermediate.dense,768,27.750643,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.1.output.dense,3072,55.445427,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.2.intermediate.dense,768,27.766708,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.2.output.dense,3072,55.460701,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.3.intermediate.dense,768,27.778961,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.3.output.dense,3072,55.387444,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.4.intermediate.dense,768,27.787428,non-orthogonal control
Random Gaussian (non-orth),vit.encoder.layer.4.output.dense,3072,55.446789,non-orthogonal control
