Bit_Config,Seed,Top1_Acc
W6A6,42,79.84
W6A6,123,79.68
W6A6,456,79.7
W6A6,789,79.83
W6A6,1024,79.89
W6A6,7,79.96
W6A6,21,79.8
W6A6,99,80.04
W6A6,314,79.87
W6A6,271,79.81
W6A6,555,79.83
W6A6,888,79.92
W6A6,1111,79.8
W6A6,2024,79.88
W6A6,3141,79.94
W6A6,5926,79.91
W6A6,100,79.85
W6A6,200,79.82
W6A6,300,79.86
W6A6,400,79.88
W4A4,42,26.48
W4A4,123,29.56
W4A4,456,28.08
W4A4,789,27.08
W4A4,1024,27.33
W4A4,7,28.63
W4A4,21,29.58
W4A4,99,28.88
W4A4,314,27.61
W4A4,271,28.46
W4A4,555,30.29
W4A4,888,29.39
W4A4,1111,27.76
W4A4,2024,28.2
W4A4,3141,25.58
W4A4,5926,27.9
W4A4,100,30.0
W4A4,200,30.22
W4A4,300,29.07
W4A4,400,31.57
