Config,Layer,d,orth_residual
QR of Gaussian (baseline/Haar),vit.encoder.layer.0.intermediate.dense,768,1.965e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.0.output.dense,3072,5.928e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.1.intermediate.dense,768,1.965e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.1.output.dense,3072,5.936e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.2.intermediate.dense,768,1.95e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.2.output.dense,3072,5.923e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.3.intermediate.dense,768,1.957e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.3.output.dense,3072,5.914e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.4.intermediate.dense,768,1.942e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.4.output.dense,3072,5.925e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.5.intermediate.dense,768,1.962e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.5.output.dense,3072,5.913e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.6.intermediate.dense,768,1.944e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.6.output.dense,3072,5.932e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.7.intermediate.dense,768,1.963e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.7.output.dense,3072,5.926e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.8.intermediate.dense,768,1.95e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.8.output.dense,3072,5.914e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.9.intermediate.dense,768,1.95e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.9.output.dense,3072,5.898e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.10.intermediate.dense,768,1.961e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.10.output.dense,3072,5.932e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.11.intermediate.dense,768,1.944e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.11.output.dense,3072,5.918e-05
"QR of Uniform(-1,1)",vit.encoder.layer.0.intermediate.dense,768,1.966e-05
"QR of Uniform(-1,1)",vit.encoder.layer.0.output.dense,3072,5.926e-05
"QR of Uniform(-1,1)",vit.encoder.layer.1.intermediate.dense,768,1.953e-05
"QR of Uniform(-1,1)",vit.encoder.layer.1.output.dense,3072,5.903e-05
"QR of Uniform(-1,1)",vit.encoder.layer.2.intermediate.dense,768,1.94e-05
"QR of Uniform(-1,1)",vit.encoder.layer.2.output.dense,3072,5.908e-05
"QR of Uniform(-1,1)",vit.encoder.layer.3.intermediate.dense,768,1.956e-05
"QR of Uniform(-1,1)",vit.encoder.layer.3.output.dense,3072,5.918e-05
"QR of Uniform(-1,1)",vit.encoder.layer.4.intermediate.dense,768,1.952e-05
"QR of Uniform(-1,1)",vit.encoder.layer.4.output.dense,3072,5.904e-05
"QR of Uniform(-1,1)",vit.encoder.layer.5.intermediate.dense,768,1.945e-05
"QR of Uniform(-1,1)",vit.encoder.layer.5.output.dense,3072,5.902e-05
