model,bits,fp32,std,advanced,rovit
google/vit-base-patch16-224,W8A8,80.32,78.58,80.09,80.3
google/vit-base-patch16-224,W6A6,80.32,54.33,73.79,79.76
google/vit-base-patch16-224,W4A4,80.32,0.13,0.94,31.77
facebook/deit-small-patch16-224,W8A8,77.13,76.08,76.81,77.02
facebook/deit-small-patch16-224,W6A6,77.13,56.47,65.69,74.23
facebook/deit-small-patch16-224,W4A4,77.13,0.13,1.83,13.85
deit_base_patch16_224,W8A8,81.97,81.4,81.79,81.91
deit_base_patch16_224,W6A6,81.97,72.96,79.57,81.65
deit_base_patch16_224,W4A4,81.97,0.2,2.98,65.88
vit_small_patch16_224,W8A8,81.38,79.96,81.12,81.35
vit_small_patch16_224,W6A6,81.38,43.19,72.92,80.49
vit_small_patch16_224,W4A4,81.38,0.16,1.37,13.52
