layer,kappa_pre,kappa_post
vit.encoder.layer.0.intermediate.dense,25.10,6.07
vit.encoder.layer.0.output.dense,49.24,9.95
vit.encoder.layer.1.intermediate.dense,45.09,6.83
vit.encoder.layer.1.output.dense,28.98,7.24
vit.encoder.layer.2.intermediate.dense,41.67,8.07
vit.encoder.layer.2.output.dense,29.94,7.61
vit.encoder.layer.3.intermediate.dense,32.76,5.57
vit.encoder.layer.3.output.dense,53.99,10.40
vit.encoder.layer.4.intermediate.dense,23.55,5.20
vit.encoder.layer.4.output.dense,121.21,16.42
vit.encoder.layer.5.intermediate.dense,15.79,5.49
vit.encoder.layer.5.output.dense,138.37,21.08
vit.encoder.layer.6.intermediate.dense,11.50,5.20
vit.encoder.layer.6.output.dense,158.48,16.70
vit.encoder.layer.7.intermediate.dense,11.58,5.54
vit.encoder.layer.7.output.dense,36.71,6.86
vit.encoder.layer.8.intermediate.dense,9.40,5.31
vit.encoder.layer.8.output.dense,48.58,8.56
vit.encoder.layer.9.intermediate.dense,7.06,5.43
vit.encoder.layer.9.output.dense,59.58,8.36
vit.encoder.layer.10.intermediate.dense,6.89,5.48
vit.encoder.layer.10.output.dense,68.96,7.47
vit.encoder.layer.11.intermediate.dense,11.97,5.05
vit.encoder.layer.11.output.dense,40.13,6.98
vit.encoder.layer.0.intermediate.dense,25.10,6.07
vit.encoder.layer.0.output.dense,49.24,9.95
vit.encoder.layer.1.intermediate.dense,45.09,6.83
vit.encoder.layer.1.output.dense,28.98,7.24
vit.encoder.layer.2.intermediate.dense,41.67,8.07
vit.encoder.layer.2.output.dense,29.94,7.61
vit.encoder.layer.3.intermediate.dense,32.76,5.57
vit.encoder.layer.3.output.dense,53.99,10.40
vit.encoder.layer.4.intermediate.dense,23.55,5.20
vit.encoder.layer.4.output.dense,121.21,16.42
vit.encoder.layer.5.intermediate.dense,15.79,5.49
vit.encoder.layer.5.output.dense,138.37,21.08
vit.encoder.layer.6.intermediate.dense,11.50,5.20
vit.encoder.layer.6.output.dense,158.48,16.70
vit.encoder.layer.7.intermediate.dense,11.58,5.54
vit.encoder.layer.7.output.dense,36.71,6.86
vit.encoder.layer.8.intermediate.dense,9.40,5.31
vit.encoder.layer.8.output.dense,48.58,8.56
vit.encoder.layer.9.intermediate.dense,7.06,5.43
vit.encoder.layer.9.output.dense,59.58,8.36
vit.encoder.layer.10.intermediate.dense,6.89,5.48
vit.encoder.layer.10.output.dense,68.96,7.47
vit.encoder.layer.11.intermediate.dense,11.97,5.05
vit.encoder.layer.11.output.dense,40.13,6.98
vit.encoder.layer.0.intermediate.dense,25.10,6.07
vit.encoder.layer.0.output.dense,49.24,9.95
vit.encoder.layer.1.intermediate.dense,45.09,6.83
vit.encoder.layer.1.output.dense,28.98,7.24
vit.encoder.layer.2.intermediate.dense,41.67,8.07
vit.encoder.layer.2.output.dense,29.94,7.61
vit.encoder.layer.3.intermediate.dense,32.76,5.57
vit.encoder.layer.3.output.dense,53.99,10.40
vit.encoder.layer.4.intermediate.dense,23.55,5.20
vit.encoder.layer.4.output.dense,121.21,16.42
vit.encoder.layer.5.intermediate.dense,15.79,5.49
vit.encoder.layer.5.output.dense,138.37,21.08
vit.encoder.layer.6.intermediate.dense,11.50,5.20
vit.encoder.layer.6.output.dense,158.48,16.70
vit.encoder.layer.7.intermediate.dense,11.58,5.54
vit.encoder.layer.7.output.dense,36.71,6.86
vit.encoder.layer.8.intermediate.dense,9.40,5.31
vit.encoder.layer.8.output.dense,48.58,8.56
vit.encoder.layer.9.intermediate.dense,7.06,5.43
vit.encoder.layer.9.output.dense,59.58,8.36
vit.encoder.layer.10.intermediate.dense,6.89,5.48
vit.encoder.layer.10.output.dense,68.96,7.47
vit.encoder.layer.11.intermediate.dense,11.97,5.05
vit.encoder.layer.11.output.dense,40.13,6.98
