arch,d_model,d_in,layer,layer_kind,M_over_mu_pre,M_over_mu_post,kappa_pre,kappa_post,kappa_post_std
ViT-Small,384,384,vit.encoder.layer.0.intermediate.dense,mlp_in,40.818958398015795,8.985572827396682,26.38435672224332,7.053005147176725,0.6246631528646263
ViT-Small,384,1536,vit.encoder.layer.0.output.dense,mlp_out,131.22720517480494,11.516260136749322,57.85376637443913,8.751418885189114,0.501934593882642
ViT-Small,384,384,vit.encoder.layer.1.intermediate.dense,mlp_in,21.732606511114547,7.318109123303195,16.073647624034532,5.815981336300434,0.3098512847706935
ViT-Small,384,1536,vit.encoder.layer.1.output.dense,mlp_out,52.19363678319435,9.29078081800903,33.14570355031287,7.277829260783845,0.3574965835760722
ViT-Small,384,384,vit.encoder.layer.2.intermediate.dense,mlp_in,28.992789578495312,6.968373551675446,22.349813519641707,5.554764609791844,0.31867694507811245
ViT-Small,384,1536,vit.encoder.layer.2.output.dense,mlp_out,34.12724317597373,8.473075113729218,21.748706484484387,6.692442710512024,0.2875874186799131
ViT-Small,384,384,vit.encoder.layer.3.intermediate.dense,mlp_in,27.483460979788525,6.724628232068237,20.6116844933368,5.364594828962344,0.3093919403090969
ViT-Small,384,1536,vit.encoder.layer.3.output.dense,mlp_out,56.7155161283683,9.056692301931852,36.82131205282148,7.172266071553679,0.4863791315781732
ViT-Small,384,384,vit.encoder.layer.4.intermediate.dense,mlp_in,28.032400554819272,6.644248469458371,20.968594890729356,5.299812990764201,0.26281379253515796
ViT-Small,384,1536,vit.encoder.layer.4.output.dense,mlp_out,85.57187448374037,12.592512214536892,55.31420731981229,9.92191966117316,0.6089054623743921
ViT-Small,384,384,vit.encoder.layer.5.intermediate.dense,mlp_in,23.59184525375471,6.864056058393525,17.720446236759837,5.471716521085932,0.23297375444543453
ViT-Small,384,1536,vit.encoder.layer.5.output.dense,mlp_out,129.8144495627415,13.95443430804159,80.79243569644393,10.905005687306211,0.8576755321754443
ViT-Small,384,384,vit.encoder.layer.6.intermediate.dense,mlp_in,21.61841721604094,6.867964624006521,16.322475510942002,5.47153802447427,0.3340355224379668
ViT-Small,384,1536,vit.encoder.layer.6.output.dense,mlp_out,309.98771732494436,32.0893898617283,142.25160964738495,21.408601061460722,1.6721360218226864
ViT-Small,384,384,vit.encoder.layer.7.intermediate.dense,mlp_in,15.1824408002286,6.720467349089884,11.352220368685495,5.335560388124756,0.28567173604798013
ViT-Small,384,1536,vit.encoder.layer.7.output.dense,mlp_out,68.4504691068438,8.778903127627789,33.67443962908887,6.942055422450174,0.505463468361979
ViT-Small,384,384,vit.encoder.layer.8.intermediate.dense,mlp_in,17.556734690003374,6.743312752069301,12.969562194031282,5.339408043227155,0.24565330294542725
ViT-Small,384,1536,vit.encoder.layer.8.output.dense,mlp_out,168.11065984823156,9.498619245413995,37.12955796060461,7.389450728663226,0.421724944895036
ViT-Small,384,384,vit.encoder.layer.9.intermediate.dense,mlp_in,16.032100010962694,6.659114600196766,11.880216497691354,5.267413001283963,0.23763412325868422
ViT-Small,384,1536,vit.encoder.layer.9.output.dense,mlp_out,244.07573129179744,9.803615523274514,41.39114398067029,7.591288933763399,0.5610618805494622
ViT-Small,384,384,vit.encoder.layer.10.intermediate.dense,mlp_in,13.504127361044896,6.662038068050043,10.29309091595214,5.2740270729188135,0.20057141533313083
ViT-Small,384,1536,vit.encoder.layer.10.output.dense,mlp_out,775.9963680256975,10.803561059439437,76.883954706904,8.223593234588778,0.3723297315471327
ViT-Small,384,384,vit.encoder.layer.11.intermediate.dense,mlp_in,15.478600196222324,6.422680649262581,11.919485142875306,5.101486524756272,0.188921517735538
ViT-Small,384,1536,vit.encoder.layer.11.output.dense,mlp_out,46.15370446228778,8.516737100681967,17.864812811536247,6.700949367285152,0.35171837984363247
ViT-Base,768,768,vit.encoder.layer.0.intermediate.dense,mlp_in,33.06294672135168,7.718235229882644,24.888802764716868,6.142272048929861,0.30007137615042023
ViT-Base,768,3072,vit.encoder.layer.0.output.dense,mlp_out,157.46247244438936,14.591088327388338,86.21730372849993,11.190741535107742,0.5201328533636905
ViT-Base,768,768,vit.encoder.layer.1.intermediate.dense,mlp_in,60.74788460912221,9.024047680005545,45.128011195722216,7.174497853269749,0.7304892828722003
ViT-Base,768,3072,vit.encoder.layer.1.output.dense,mlp_out,51.46459260909309,9.545985824734485,30.932510652647284,7.532411589595401,0.38012953668678545
ViT-Base,768,768,vit.encoder.layer.2.intermediate.dense,mlp_in,55.7841815385829,8.484362114477582,41.58488302632278,6.759734901066072,0.6478736703609107
ViT-Base,768,3072,vit.encoder.layer.2.output.dense,mlp_out,46.76277850892633,8.604858463166698,28.672091364065977,6.820231251577177,0.2822160522519842
ViT-Base,768,768,vit.encoder.layer.3.intermediate.dense,mlp_in,43.509287032993605,7.2795905782883334,32.99738366453291,5.806934120921479,0.43961701577720286
ViT-Base,768,3072,vit.encoder.layer.3.output.dense,mlp_out,83.97765963026208,13.568819237835708,48.573373332625565,10.718689069387489,0.7859886853128255
ViT-Base,768,768,vit.encoder.layer.4.intermediate.dense,mlp_in,31.07343007119375,6.833016649991244,23.681065534998343,5.45381971004245,0.310751231488184
ViT-Base,768,3072,vit.encoder.layer.4.output.dense,mlp_out,226.41719560951768,22.38746152327644,114.75579632878782,16.750067413745718,1.5239669583415774
ViT-Base,768,768,vit.encoder.layer.5.intermediate.dense,mlp_in,21.028483612608547,6.85158404100776,16.033559636325332,5.456861107971425,0.2285559666536307
ViT-Base,768,3072,vit.encoder.layer.5.output.dense,mlp_out,412.0391606722403,34.151374240612455,133.19928420138376,20.167018720399717,1.7618297699836434
ViT-Base,768,768,vit.encoder.layer.6.intermediate.dense,mlp_in,15.08953102714722,6.801606265182701,11.491939359086702,5.401395591766014,0.1752890158099028
